downloaded,city,checkin,hotel_name,rating,stars,price_HUF,dist_center_km,dist_other_km
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,A&O Amsterdam Zuidoost,3.3,2,45358,8.3,Schiphol repülőtér. Amsterdam (AMS): 13
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Acostar Hotel,2.7,2.5,118677,1,Schiphol repülőtér. Amsterdam (AMS): 11
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Alex Rooms,4.5,3,34352,9.7,Schiphol repülőtér. Amsterdam (AMS): 8.0
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Amigo Budget Hostel,3,1.5,156151,3,Schiphol repülőtér. Amsterdam (AMS): 13
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Amrâth Grand Hotel Frans Hals,4.3,4,44271,17,Schiphol repülőtér. Amsterdam (AMS): 11
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Amrâth Hotel Lapershoek Arenapark,3.6,4,25299,26,Schiphol repülőtér. Amsterdam (AMS): 31
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Amrath Hotel Alkmaar,4.3,4,23190,31,Schiphol repülőtér. Amsterdam (AMS): 36
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Amrath Hotel Theater Gooiland,3.6,4,20300,26,Schiphol repülőtér. Amsterdam (AMS): 30
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Amsterdam Downtown Hotel,3.1,2,140541,1,Schiphol repülőtér. Amsterdam (AMS): 11
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Amsterdam Marriott Hotel,4.2,5,127734,1.4,Schiphol repülőtér. Amsterdam (AMS): 11
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Amsterdam Teleport Hotel,4.1,2.5,68583,4.3,Schiphol repülőtér. Amsterdam (AMS): 10
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Andaz Amsterdam Prinsengracht - a concept by Hyatt,4.8,5,171770,0.9,Schiphol repülőtér. Amsterdam (AMS): 11
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Apollo Hotel Utrecht City Centre,3.7,4,26404,35,Schiphol repülőtér. Amsterdam (AMS): 34
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Art Hotel Dulac,4.1,4,85884,0.9,Schiphol repülőtér. Amsterdam (AMS): 12
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Badhu,3.9,3,26547,34,Schiphol repülőtér. Amsterdam (AMS): 34
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Bastion Hotel Almere,3.9,3,32794,19,Schiphol repülőtér. Amsterdam (AMS): 29
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Bastion Hotel Amsterdam Airport,4,4,36541,15,Schiphol repülőtér. Amsterdam (AMS): 2.7
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Bastion Hotel Amsterdam Amstel,3.5,3,73393,5,Schiphol repülőtér. Amsterdam (AMS): 12
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Bastion Hotel Amsterdam Noord,3.7,3,73393,3.5,Schiphol repülőtér. Amsterdam (AMS): 16
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Bastion Hotel Amsterdam Zuidwest,3.6,3,73393,3.7,Schiphol repülőtér. Amsterdam (AMS): 8.4
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Bastion Hotel Bussum Hilversum,3.9,3,29668,22,Schiphol repülőtér. Amsterdam (AMS): 28
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Bastion Hotel Haarlem Velsen,4,3,38726,18,Schiphol repülőtér. Amsterdam (AMS): 15
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Bastion Hotel Leiden Oegstgeest,3.8,3,21862,37,Schiphol repülőtér. Amsterdam (AMS): 25
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Bastion Hotel Leiden Voorschoten,3.8,3,21862,38,Schiphol repülőtér. Amsterdam (AMS): 26
9/16/2015 4:12,"Amsterdam, Netherlands",12/31/2015,Bastion Hotel Schiphol Hoofddorp,3.6,3,32794,16,Schiphol repülőtér. Amsterdam (AMS): 5.5
